СИТ ГРЕЙНБАРИзмерение от 13.07.16, 08:04:46  Температура предупрежденя 30.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
------------------------------------------------------------------------------
  1 | 1 1 2|5-2       |      9.4     22.5      23.2     23.6     23.4     23.9
  2 | 1 1 3|5-84-1    |     13.9     16.9      14.9     14.3     16.5     23.7
  3 | 1 1 4|5-1*      |     24.0     23.6      24.1     24.6     24.4     24.1
  4 | 1 2 1|5-2*      |     14.1     22.8      23.1     23.1     23.5     24.2
  5 | 1 2 2|5-3*      |     20.4     22.4      22.1     21.8     24.0     23.2
  6 | 1 2 3|5-7       |     23.5     23.7      23.8     23.9     24.8     24.1
  7 | 1 2 4|5-8       |     22.6     22.8      22.9     23.3     23.3     23.6
  8 | 1 3 1|5-84-2    |     16.6     17.2      16.6     16.7     16.7     22.0
  9 | 1 3 3|5-1       |     25.4     24.6      24.8     24.6     25.1     24.4
 10 | 2 1 1|5-10      |     17.8     18.7      18.1     18.6     19.3     23.1
 11 | 2 1 2|5-6       |     25.0     23.5      23.4     23.4     23.5     23.5
 12 | 2 1 3|5-11      |     15.9     18.9      20.5     21.8     20.5     22.9
 13 | 2 1 4|5-12      |     23.7     23.3      24.1     23.3     22.9     22.8
 14 | 2 2 1|5-5*      |     21.4     22.8      22.8     23.1     23.1     23.5
 15 | 2 2 2|5-5       |     24.0     25.1    **30.0     23.9     24.0     23.7
 16 | 2 2 3|5-4*      |     23.8     23.9      23.5     23.6     24.3     24.3
 17 | 2 2 4|5-4       |     24.5     23.9      24.1     23.9     23.7     23.6
 18 | 3 1 1|5-13*     |     22.9     22.9      24.8     23.3     23.6     23.6
 19 | 3 1 2|5-18      |     23.2     22.9      23.6     22.9     23.2     22.6
 20 | 3 1 3|5-14*     |     23.5     23.0      23.1     23.6     22.9     23.1
 21 | 3 1 4|5-15*     |     23.1     23.3      22.9     23.2     22.9     23.4
 22 | 3 2 1|5-10*     |     20.9     21.0      21.4     21.8     21.8     22.4
 23 | 3 2 2|5-17      |     22.3     23.1      23.3     22.6     22.5     23.0
 24 | 3 2 3|5-9*      |     21.5     22.2      22.1     22.1     22.2     22.5
 25 | 3 2 4|5-16      |     21.8     22.0      22.2     22.4     22.6     22.9
 26 | 4 1 1|5-8*      |     20.8     22.1      22.3     22.4     22.7     23.1
 27 | 4 1 2|5-84-3    |     23.1     22.3      22.6     24.2     23.9     23.2
 28 | 4 1 3|5-11*     |     24.1     24.4      24.5     24.3     24.2     24.4
 29 | 4 1 4|5-12*     |     23.5     23.3      23.4     23.0     23.3     23.5
 30 | 4 2 1|5-7*      |     22.6     22.9      23.1     22.7     23.1     23.3
 31 | 4 2 2|5-14      |     21.9     23.2      22.0     22.4     22.9     23.0
 32 | 4 2 3|5-6*      |     24.2     23.9      24.6     24.4     24.2     24.1
 33 | 4 2 4|5-13      |     24.1     24.4      24.7     24.4     24.3     24.2
 34 | 5 1 1|5-18*     |     24.5     25.0      24.0     23.9     23.9     23.7
 35 | 5 1 2|5-21      |     24.3     24.7      24.0     23.7     23.6     23.6
 36 | 5 1 3|5-25      |     25.0     24.9      24.3     25.6     24.9     25.4
 37 | 5 1 4|5-26      |     26.4     26.5      26.3     24.7     24.0     24.2
 38 | 5 2 1|5-17*     |     28.2     23.5      24.9     24.1     23.6     24.2
 39 | 5 2 2|5-20      |     28.2     24.7      24.4     24.0     23.7     23.9
 40 | 5 2 3|5-27      |     19.4     16.8      16.4     16.0     24.4     24.7
 41 | 5 3 1|5-16*     |     24.5     24.8      24.7     24.1     24.4     24.2
 42 | 5 3 2|5-19      |     24.9     24.4      24.4     24.4     24.5     24.2
 43 | 6 1 1|5-28      |     22.4     24.8      28.4     25.4     24.2     24.6
 44 | 6 1 2|5-24      |     23.7     23.3      23.8     23.5     23.0     23.2
 45 | 6 1 3|5-29      |     23.3     23.6      24.1     23.9     24.0     23.4
 46 | 6 1 4|5-30      |     23.7     23.6      23.8     23.4     24.0     23.2
 47 | 6 2 1|5-20*     |     24.2     23.9      24.3     24.5     23.4     23.5
 48 | 6 2 2|5-23      |   **36.0   **35.3    **36.1   **36.1     23.0     24.2
 49 | 6 2 3|5-19*     |     25.6     25.4      24.4     24.3     24.2     23.3
