СИТ ГРЕЙНБАРИзмерение от 13.07.16, 08:04:46  Температура предупрежденя 30.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
 50 | 6 2 4|5-22      |     24.9     26.6      26.2     23.9     23.9     23.7
 51 | 7 1 1|3-1       |     20.9     21.3      20.1     19.2     19.4     19.9
 52 | 7 1 2|3-1*      |     18.0     20.7      19.2     20.2     19.0     22.9
 53 | 7 1 3|3-7       |     21.1     20.7      21.1     20.8     19.1     23.2
 54 | 7 1 4|3-8       |     19.5     20.0      21.3     21.2     21.7     22.4
 55 | 7 2 1|3-2       |     20.8     21.0      20.5     20.5     19.2     19.9
 56 | 7 2 2|3-2*      |     21.7     21.0      20.9     20.8     20.4     22.5
 57 | 7 2 3|3-9       |     23.6     22.8      22.2     22.4     22.2     22.4
 58 | 7 3 1|3-3       |     21.5     23.3      22.4     21.2     20.5     20.2
 59 | 7 3 2|3-3*      |     21.1     22.1      23.0     20.4     20.5     22.9
 60 | 8 1 1|3-13      |     23.0     22.9      23.1     23.3     23.7     22.6
 61 | 8 1 2|3-6*      |     22.5     22.3      22.1     22.3     22.2     22.8
 62 | 8 1 3|3-11*     |     E204     E204      E204     E204     E204     E204
 63 | 8 1 4|3-12*     |     E204     E204      E204     E204     E204     E204
 64 | 8 2 1|3-14      |     22.2     22.4      22.4     22.4     22.9     23.0
 65 | 8 2 2|3-7*      |     22.3     22.5      22.5     22.5     22.4     22.7
 66 | 8 2 3|3-15      |     22.7     22.8      23.5     23.1     23.1     23.3
 67 | 8 2 4|3-8*      |     22.8     23.7      23.0     22.7     23.2     23.2
 68 | 9 1 1|3-19      |     27.0     29.9    **31.0   **30.9     27.2     23.1
 69 | 9 1 2|3-16*     |     27.1     29.5      28.7     28.3     24.1     23.5
 70 | 9 1 3|3-25      |     28.4   **30.1    **30.8     24.8   **31.8     23.4
 71 | 9 1 4|3-26      |     26.6     25.6      24.6     23.7     24.3     24.1
 72 | 9 2 1|3-20      |     29.7     29.7      29.8     28.0     24.4     23.8
 73 | 9 2 2|3-17*     |     28.4     29.7      27.6     25.8     25.0     26.0
 74 | 9 2 3|3-27      |     22.5     23.4      23.3     25.3     25.0     25.0
 75 | 9 3 1|3-21      |   **35.4   **40.5      26.0     25.3     24.9     24.5
 76 | 9 3 2|3-18*     |     29.6     27.3      26.7     25.9     25.6     24.5
 77 |10 1 1|3-22      |     23.7     25.1      23.5     23.6     24.0     24.0
 78 |10 1 2|3-19*     |     25.0     26.5      23.0     23.4     23.5     23.7
 79 |10 1 3|3-29      |     20.5     20.4      19.4     24.2     24.0     23.9
 80 |10 1 4|3-30      |     29.4   **31.0    **33.4   **35.3     24.5     24.0
 81 |10 2 1|3-23      |     25.5     23.7      23.2     23.7     23.6     23.4
 82 |10 2 2|3-20*     |     27.0     25.2      26.2     27.0     25.0     24.1
 83 |10 2 3|3-24      |   **32.5   **32.4      29.9   **31.5   **32.8     24.1
 84 |10 2 4|3-28      |     25.8     25.7      26.6     26.1     24.8     24.2
 85 |11 1 1|3-16      |     22.5     22.6      23.0     23.0     23.2     23.0
 86 |11 1 2|3-9*      |     23.3     22.7      22.5     23.0     22.2     22.2
 87 |11 1 3|3-14*     |     23.0     22.0      22.2     23.1     22.5     23.5
 88 |11 1 4|3-15*     |   **31.0   **31.5      29.2   **31.8     26.4     23.2
 89 |11 2 1|3-17      |     23.0     22.8      22.8     22.6     22.7     22.7
 90 |11 2 2|3-10*     |     23.5     22.9      22.9     23.1     22.9     23.0
 91 |11 2 3|3-18      |     23.2     23.9      23.4     23.2     23.1     23.3
 92 |11 2 4|3-13*     |     26.7     24.5      27.7     24.3     24.1     24.3
 93 |12 1 1|3-4       |     24.5     24.3      24.8     24.2     24.4     24.0
 94 |12 1 2|3-4*      |   **31.4     24.4      24.1     23.8     24.4     24.2
 95 |12 1 3|3-11      |     22.8     23.2      22.1     22.7     22.3     22.5
 96 |12 1 4|3-12      |     23.4     23.6      23.4     23.2     23.5     23.3
 97 |12 2 1|3-5       |     25.9     24.8      24.3     24.1     23.9     23.7
 98 |12 2 2|3-5*      |     23.7     23.4      23.8     23.8     23.5     23.7
 99 |12 2 3|3-6       |     21.9     23.9      25.3     23.9     23.9     23.6
100 |12 2 4|3-10      |     22.5     22.8      22.6     22.5     22.9     22.9
101 |13 1 1|1-1       |     24.1     25.2      23.3     24.0     23.7     23.8
102 |13 1 2|1-1*      |     22.6     22.7      23.4     23.3     23.2     23.4
103 |13 1 3|1-7       |     21.1     21.3      21.9     21.3     22.3     22.4
104 |13 1 4|1-8       |     18.6     21.4      21.5     21.5     21.6     22.1
105 |13 2 1|1-2       |     11.4     12.9      12.1     12.7     13.1     21.6
106 |13 2 2|1-2*      |     16.0     14.7      16.3     23.8     20.3     23.7
107 |13 2 3|1-84-2    |     18.8     18.6      19.3     20.7     18.7     22.6
108 |13 2 4|1-84-1    |     21.1     21.5      22.8     22.9     23.1     23.3
109 |13 3 4|1-3*      |     21.5     21.9      22.8     23.0     22.8     23.2
110 |14 1 1|1-13      |     17.8     19.4      18.8     23.1     23.0     23.2
111 |14 1 2|1-6*      |     21.4     21.4      21.7     22.3     22.5     22.8
112 |14 1 3|1-11*     |     29.3   **31.2    **31.6   **32.2   **33.7     23.3
113 |14 1 4|1-12*     |     23.4     23.3      23.3     23.4     23.4     23.5
114 |14 2 1|1-14      |     21.8     21.9      22.2     22.1     22.2     22.5
115 |14 2 2|1-7*      |     25.3     21.6      21.6     22.0     21.9     22.6
116 |14 2 3|1-84-3    |     24.7     16.6      18.2     15.9     15.0     23.1
117 |14 2 4|1-8*      |     19.8     20.4      20.4     20.3     22.4     23.1
118 |15 1 1|1-19      |   **32.9   **32.6    **30.6   **32.6   **32.8     23.7
119 |15 1 2|1-16*     |     27.7     25.7      25.6     26.1     23.9     23.6
120 |15 1 3|1-25      |     29.6     29.0      29.5     29.6     23.9     23.8
121 |15 1 4|1-26      |     26.1     23.1      25.5     23.4     24.3     23.8
122 |15 2 1|1-20      |     25.2     24.1      23.5     23.9     23.6     23.4
123 |15 2 2|1-17*     |     24.1     24.7      24.2     24.0     24.2     23.5
124 |15 2 3|1-27      |     28.4     29.4    **30.2   **30.3     24.5     24.5
125 |15 3 1|1-21      |     21.5     22.4      23.2     21.5     23.7     24.2
126 |15 3 2|1-18*     |     21.1     23.5      22.7     22.9     24.9     24.5
127 |16 1 1|1-22      |   **45.9   **33.1      26.8     26.0     25.6     25.1
128 |16 1 2|1-19*     |   **31.3     27.6      27.6     26.5     25.7     24.9
129 |16 1 3|1-29      |     19.5     19.4      16.1     17.2     24.3     23.9
130 |16 1 4|1-30      |     22.8     23.2      24.7     24.7     23.7     23.5
131 |16 2 1|1-23      |   **37.4   **34.1    **35.4   **32.9     24.0     23.8
132 |16 2 2|1-20*     |     21.7     21.8      23.0     23.8     23.3     23.6
133 |16 2 3|1-24      |     23.8     23.7      23.6     24.0     23.7     23.4
134 |16 2 4|1-28      |     21.1     22.1      24.4     24.6     24.7     24.3
135 |17 1 1|1-16      |     22.9     22.3      22.7     22.5     23.1     23.1
136 |17 1 2|1-9*      |     21.9     22.2      22.2     22.3     22.2     22.4
137 |17 1 3|1-14*     |   **32.9   **33.4      26.8     25.4     24.8     24.0
138 |17 1 4|1-15*     |     23.5     22.5      23.0     24.6     23.4     23.6
139 |17 2 1|1-17      |     22.9     22.9      22.7     23.3     24.2     23.2
140 |17 2 2|1-10*     |     23.1     23.3      24.0     23.7     23.4     23.6
141 |17 2 3|1-18      |     24.1     23.7      23.2     23.4     23.2     23.7
142 |17 2 4|1-13*     |     16.5     18.5      18.3     17.9     22.7     22.8
143 |18 1 1|1-4       |     23.3     24.8      23.8     23.7     23.7     23.7
144 |18 1 2|1-4*      |     23.7     24.0      24.1     24.1     24.2     23.7
145 |18 1 3|1-11      |     24.1     23.6      22.9     22.9     22.7     22.8
146 |18 1 4|1-12      |     23.8     24.5      24.2     24.5     23.0     24.4
147 |18 2 1|1-5       |     25.2     24.0      26.9     24.2     24.3     23.9
148 |18 2 2|1-5*      |     27.4     25.0      25.0     24.8     24.2     24.3
149 |18 2 3|1-6       |     24.0     24.6      24.3     24.4     24.2     23.9
150 |18 2 4|1-10      |     22.7     22.3      22.4     22.7     22.5     22.8
151 |19 1 1|2-1       |     12.6     12.5      13.1     11.2     13.7     24.0
152 |19 1 2|2-1*      |     16.4     21.8      22.1     22.8     22.9     23.9
153 |19 1 3|2-7       |     18.2     12.4      12.4     11.9     12.2     23.6
154 |19 1 4|2-8       |     23.0     22.7      22.9     22.8     23.5     24.5
155 |19 2 1|2-2       |     11.9     24.2      24.3     23.8     24.3     24.0
156 |19 2 2|2-2*      |     23.1     24.0      24.0     24.4     23.9     23.8
157 |19 2 3|2-9       |     21.0     22.0      22.0     21.0     20.5     23.9
158 |19 3 1|2-3       |     14.8     23.8      24.0     24.5     23.9     24.0
159 |19 3 2|2-3*      |     23.0     23.6      23.9     24.0     23.8     23.9
160 |20 1 1|2-6*      |     25.2     23.0      24.4     23.7     23.5     23.4
161 |20 1 2|2-14      |     23.1     23.2      23.3     23.1     23.1     23.3
162 |20 1 3|2-11*     |     23.4     25.6      23.5   **32.3     23.8     23.5
163 |20 1 4|2-12*     |     26.5     25.4      25.1     24.3     24.0     23.8
164 |20 2 1|2-7*      |     23.2     20.5      20.7     22.7     23.4     23.2
165 |20 2 2|2-15      |     18.5     17.2      15.3     17.2     24.0     24.0
166 |20 2 3|2-8*      |     20.5     21.3      22.1     23.0     26.5     23.4
167 |20 2 4|2-13      |     26.4     24.3      24.0     23.9     23.7     23.6
168 |21 1 1|2-19      |     25.2     25.5      24.3     24.9     24.1     23.5
169 |21 1 2|2-16*     |     26.8     23.9      25.0     24.3     24.1     24.0
170 |21 1 3|2-25      |     25.2     24.7      24.4     24.2     23.9     23.8
171 |21 1 4|2-26      |   **35.9   **37.7    **38.3   **37.8   **35.7   **34.2
172 |21 2 1|2-20      |     25.8     25.3      25.0     24.4     25.8     24.2
173 |21 2 2|2-17*     |     28.6     28.5      28.1     28.3     28.2     25.2
174 |21 2 3|2-27      |   **35.5   **35.7    **35.9   **35.7     26.8     26.1
175 |21 3 1|2-21      |   **30.4   **30.9    **30.4     30.0   **30.5     28.9
176 |21 3 2|2-18*     |   **35.1   **36.4    **37.6   **37.0     26.9     25.9
177 |22 1 1|2-22      |   **36.4   **37.2    **38.0   **38.4   **38.0     25.0
178 |22 1 2|2-23      |   **30.0   **30.6      30.0   **30.3   **30.7     24.0
179 |22 1 3|2-29      |     24.7     24.5      24.1     24.2     23.9     23.7
180 |22 1 4|2-30      |     23.7     23.7      23.4     23.3     23.3     23.4
181 |22 2 1|2-24      |     23.2     23.3      23.0     22.8     23.0     23.3
182 |22 2 2|2-19*     |   **32.2   **32.4    **32.6   **32.8     26.1     24.6
183 |22 2 3|2-20*     |     23.2     25.4      23.1     23.1     23.1     23.2
184 |22 2 4|2-28      |     26.9     27.0      26.9     26.5     25.9     25.5
185 |23 1 1|2-16      |     22.1     21.3      25.6     20.8     23.0     23.2
186 |23 1 2|2-9*      |     21.3     22.0      22.5     22.7     22.9     23.0
187 |23 1 3|2-15*     |   **30.9   **31.5    **32.0   **31.8     25.1     24.2
188 |23 1 4|2-14*     |     22.6     22.8      23.1     23.8     22.8     23.2
189 |23 2 1|2-17      |     19.8     22.4      22.3     22.3     22.6     23.1
190 |23 2 2|2-10*     |     22.2     22.6      22.7     23.0     22.4     23.1
191 |23 2 3|2-18      |     22.8     22.7      22.9     22.7     22.7     22.8
192 |23 2 4|2-13*     |   **31.8   **31.4    **31.7   **32.1     29.4     24.7
193 |24 1 1|2-4       |     23.5     23.7      24.2     23.7     23.7     23.7
194 |24 1 2|2-4*      |     20.0     23.5      23.7     23.4     23.5     23.2
195 |24 1 3|2-11      |     16.9     16.9      20.3     22.6     22.9     23.1
196 |24 1 4|2-12      |     17.2     16.5      16.2     14.7     13.4     23.2
197 |24 2 1|2-5       |     22.4     23.8      23.5     25.2     23.4     23.4
198 |24 2 2|2-5*      |     21.1     13.9      17.0     18.3     18.8     22.8
199 |24 2 3|2-6       |     17.3     15.5      14.9     13.3     13.1     23.2
200 |24 2 4|2-10      |     21.7     22.3      22.7     23.3     23.0     23.3
201 |25 1 1|4-1       |     17.2     15.5      14.0     14.6     15.4     19.7
202 |25 1 2|4-1*      |     16.8     15.9      15.0     15.9     16.6     22.2
203 |25 1 3|4-7       |     18.9     18.7      15.5     14.5     15.8     23.4
204 |25 1 4|4-8       |     19.3     18.6      15.3     20.1     22.3     22.6
205 |25 2 1|4-2       |     13.1     14.8      14.9     14.7     15.0     19.0
206 |25 2 2|4-2*      |     22.1     21.2      22.2     22.5     22.9     22.8
207 |25 2 3|4-84-2    |     18.1     22.5      22.4     22.9     22.7     23.0
208 |25 3 1|4-84-1    |     23.0     23.5      24.0     23.7     23.6     23.5
209 |25 3 2|4-3*      |     22.7     24.0      23.9     24.1     24.0     23.6
210 |26 1 1|4-11*     |     22.4     23.2      23.0     22.8     22.8     22.9
211 |26 1 2|4-13      |     23.0     21.9      22.9     24.0     22.9     22.6
212 |26 1 3|4-6*      |     21.7     21.4      22.4     22.5     23.4     22.8
213 |26 1 4|4-12*     |     28.6     24.9      24.2     23.9     23.5     23.4
214 |26 2 1|4-14      |     20.0     22.4      22.4     22.6     22.7     22.6
215 |26 2 2|4-7*      |     21.9     22.6      22.6     22.6     22.6     22.9
216 |26 2 3|4-84-3    |     22.5     22.7      22.7     22.7     22.6     22.9
217 |26 2 4|4-8*      |     22.5     23.0      23.0     22.7     23.1     23.2
218 |27 1 1|4-19      |     23.7     23.4      23.4     23.6     23.2     23.1
219 |27 1 2|4-16*     |     23.0     23.4      23.9     23.9     23.4     23.0
220 |27 1 3|4-25      |     23.9     23.7      24.2     23.7     23.6     23.4
221 |27 1 4|4-26      |   **35.4   **35.0      28.2     24.3     23.7     23.6
222 |27 2 1|4-20      |     23.9     23.7      23.3     23.3     22.9     23.2
223 |27 2 2|4-17*     |   **30.5     26.0      25.5     24.8     24.5     24.2
224 |27 2 3|4-27      |     27.6     26.3      26.1     25.5     25.0     24.7
225 |27 3 1|4-21      |   **33.6     24.9      26.9     25.1     24.7     24.5
226 |27 3 2|4-18*     |     26.1     25.7      25.4     25.2     24.8     24.0
227 |28 1 1|4-22      |     26.2     26.5      25.4     23.0     23.4     24.4
228 |28 1 2|4-23      |     28.4     24.0      23.8     23.7     24.3     23.8
229 |28 1 3|4-29      |     19.1     19.0      18.9     18.8     24.3     24.1
230 |28 2 1|4-24      |     21.5     22.0      22.3     22.5     23.0     22.6
231 |28 2 2|4-19*     |     24.2     24.3      24.3     24.3     23.9     24.0
232 |28 2 3|4-20*     |     23.2     23.5      23.5     23.5     23.8     23.8
233 |28 2 4|4-28      |   **30.9   **30.7    **31.2   **30.0     25.1     25.1
234 |29 1 1|4-9*      |     24.9     26.4      26.0     25.9     25.4     23.9
235 |29 1 2|4-10*     |     23.2     23.5      23.7     23.2     23.1     23.8
236 |29 1 3|4-14*     |     24.1     23.7      23.7     23.1     23.6     23.8
237 |29 1 4|4-15*     |     23.6     23.7      23.7     23.9     23.6     23.7
238 |29 2 1|4-16      |     22.6     23.0      22.8     22.7     23.1     23.2
239 |29 2 2|4-17      |     23.3     24.3      26.6     22.9     23.7     23.6
240 |29 2 3|4-18      |     22.5     22.5      23.0     22.6     22.5     22.7
241 |29 2 4|4-13*     |     24.2     25.5      25.0     24.6     24.6     23.9
242 |30 1 1|4-4       |     24.0     24.5      24.0     23.9     23.8     23.6
243 |30 1 2|4-4*      |     24.0     24.1      25.8     23.9     24.1     23.9
244 |30 1 3|4-11      |     22.6     21.5      20.0     23.1     23.0     23.4
245 |30 1 4|4-12      |     27.6     27.3      26.8     26.3     25.6     24.5
246 |30 2 1|4-5       |     24.4     24.5      24.6     24.7     24.3     24.5
247 |30 2 2|4-5*      |     25.3     25.3      24.8     24.2     22.7     24.3
248 |30 2 3|4-6       |     24.5     26.9      26.8     23.7     27.6     24.1
249 |30 2 4|4-10      |     22.8     23.3      23.1     23.1     23.7     23.2
Конец сохранения данных измерения от 13.07.16, 08:04:46
