СИТ ГРЕЙНБАРИзмерение от 10.10.16, 10:04:43  Температура предупрежденя 28.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
------------------------------------------------------------------------------
  1 | 1 1 2|5-2       |     21.9     16.2      16.6     17.0     11.0     11.1
  2 | 1 1 3|5-84-1    |     19.4     18.8      18.2     17.8     20.7     11.9
  3 | 1 1 4|5-1*      |     12.4     11.3      11.4     11.5     11.2     10.6
  4 | 1 2 1|5-2*      |     20.9     17.4      16.9     13.0     13.1     13.1
  5 | 1 2 2|5-3*      |     19.6     19.5      19.2     14.5     14.9     13.2
  6 | 1 2 3|5-7       |     12.2     11.9      11.4     11.1     11.7     10.8
  7 | 1 2 4|5-8       |     14.4     14.1      13.8     13.8     13.4     13.1
  8 | 1 3 1|5-84-2    |     19.8     20.4      20.3     20.5     21.3     22.6
  9 | 1 3 3|5-1       |     11.2     10.2      10.2     10.0     10.6      9.8
 10 | 2 1 1|5-10      |     20.0     23.4      18.8     19.1     19.8     13.8
 11 | 2 1 2|5-6       |     23.6     26.6      27.6     26.0     26.3      9.5
 12 | 2 1 3|5-11      |   **29.5     25.4      12.3     14.2     16.4     13.6
 13 | 2 1 4|5-12      |     19.8     21.6      23.4     22.9     24.2     10.2
 14 | 2 2 1|5-5*      |     19.3     20.8      19.5     19.8     11.9     11.6
 15 | 2 2 2|5-5       |     11.6     12.7      11.5     11.1     11.2     10.5
 16 | 2 2 3|5-4*      |     15.8     E210      14.7     12.2     12.7     12.4
 17 | 2 2 4|5-4       |     23.5     21.9      21.9     11.2     11.1     10.9
 18 | 3 1 1|5-13*     |     19.2     17.4      18.8     17.3     17.7     17.0
 19 | 3 1 2|5-18      |     25.3     25.0      26.2     25.3     24.9     18.9
 20 | 3 1 3|5-14*     |     16.1     15.9      15.6     15.8     15.1     14.9
 21 | 3 1 4|5-15*     |     13.1     12.7      12.1     12.4     12.5     12.9
 22 | 3 2 1|5-10*     |     18.0     19.0      18.4     18.5     17.9     12.0
