СИТ ГРЕЙНБАРИзмерение от 10.10.16, 10:04:43  Температура предупрежденя 28.0
  № |ш.м.п.|Сил.      |       Т1       Т2       Т3       Т4       Т5       Т6
 23 | 3 2 2|5-17      |     16.6     17.1      16.9     15.8     15.2     14.8
 24 | 3 2 3|5-9*      |     17.2     17.3      16.5     16.0     15.6     14.9
 25 | 3 2 4|5-16      |     17.1     17.2      17.0     16.7     16.5     15.9
 26 | 4 1 1|5-8*      |     18.0     18.3      18.0     17.6     17.4     16.6
 27 | 4 1 2|5-84-3    |     19.3     18.4      18.2     19.4     18.5     16.9
 28 | 4 1 3|5-11*     |     12.8     13.0      12.8     12.5     12.3     12.3
 29 | 4 1 4|5-12*     |     17.6     16.9      16.6     16.0     16.1     15.7
 30 | 4 2 1|5-7*      |     20.7     20.8      20.7     20.1     21.2     14.9
 31 | 4 2 2|5-14      |     21.7     22.5      20.7     20.3     24.5     23.2
 32 | 4 2 3|5-6*      |     13.6     12.8      13.2     12.9     12.3     11.8
 33 | 4 2 4|5-13      |     12.0     11.9      12.1     11.8     11.7     11.2
 34 | 5 1 1|5-18*     |     16.2     16.4      15.8     15.8     15.7     14.9
 35 | 5 1 2|5-21      |     17.0     16.6      16.4     16.1     15.9     15.3
 36 | 5 1 3|5-25      |     11.4     11.3      10.9     12.1     11.6     11.9
 37 | 5 1 4|5-26      |     15.5     14.3      15.8     13.7     13.7     13.6
 38 | 5 2 1|5-17*     |     19.5     14.5      15.7     15.2     14.5     14.6
 39 | 5 2 2|5-20      |     15.5     15.0      14.9     14.7     14.3     14.1
 40 | 5 2 3|5-27      |     15.1     16.2      15.2     14.8     14.3     14.1
 41 | 5 3 1|5-16*     |     13.0     12.9      12.6     12.2     12.4     11.9
 42 | 5 3 2|5-19      |     12.2     11.5      11.6     11.6     11.4     11.0
 43 | 6 1 1|5-28      |     15.5     16.4      18.6     15.7     14.4     14.4
 44 | 6 1 2|5-24      |     11.7     11.1      11.4     11.1     10.7     10.9
 45 | 6 1 3|5-29      |     14.1     13.9      13.8     13.3     13.3     12.3
 46 | 6 1 4|5-30      |     10.9     10.5      10.4     10.1     10.8     10.1
 47 | 6 2 1|5-20*     |     12.5     11.9      12.0     12.3     11.5     11.8
 48 | 6 2 2|5-23      |     14.5     14.3      14.1     14.3     12.9     14.2
 49 | 6 2 3|5-19*     |     15.3     15.6      15.0     14.9     14.9     13.9
 50 | 6 2 4|5-22      |     16.4     16.1      15.7     15.7     15.6     14.9
 51 | 7 1 1|3-1       |     20.9     17.6      18.7     12.1      8.9      9.8
 52 | 7 1 2|3-1*      |     23.1     18.7      17.4     10.6      9.8      9.9
 53 | 7 1 3|3-7       |     19.0     17.4      10.2     10.0      9.4      9.6
 54 | 7 1 4|3-8       |     15.7     17.0      14.1     13.4     13.3     12.6
 55 | 7 2 1|3-2       |     22.7     22.8      21.6     10.7     10.6     10.2
 56 | 7 2 2|3-2*      |     24.1     22.2      12.2     12.5     11.6     11.5
 57 | 7 2 3|3-9       |     23.5     21.6      14.6     14.5     13.9     13.4
 58 | 7 3 1|3-3       |     12.6     12.6      11.8     11.3     11.0     11.1
 59 | 7 3 2|3-3*      |     11.8     12.0      13.8     11.6     12.1     12.4
 60 | 8 1 1|3-13      |     23.5     23.5      10.5     10.6     10.8      9.8
 61 | 8 1 2|3-6*      |     24.0     12.3      11.3     11.3     11.0     11.2
 62 | 8 1 3|3-11*     |      6.2      3.8       4.8      6.4      4.6      4.4
 63 | 8 1 4|3-12*     |     15.6     15.3      15.8     14.8     15.7     14.0
 64 | 8 2 1|3-14      |     22.5     20.9      20.2     13.3     13.4     13.0
 65 | 8 2 2|3-7*      |     18.7     18.4      15.1     14.5     14.1     13.6
 66 | 8 2 3|3-15      |     17.1     16.6      16.6     15.8     15.5     15.0
 67 | 8 2 4|3-8*      |     17.4     17.6      16.4     15.7     16.0     15.2
 68 | 9 1 1|3-19      |     11.2     10.5      11.0     10.4     10.5     10.1
 69 | 9 1 2|3-16*     |     11.9     11.7      11.3     11.2     11.6     11.1
 70 | 9 1 3|3-25      |     10.5     10.1      10.4     10.2     18.0     10.2
 71 | 9 1 4|3-26      |     18.9     15.0      13.9     12.8     13.1     12.5
 72 | 9 2 1|3-20      |     14.4     14.4      14.4     13.9     13.6     13.2
 73 | 9 2 2|3-17*     |     15.5     15.5      14.9     15.1     14.5     15.6
 74 | 9 2 3|3-27      |     15.7     15.8      15.1     15.1     14.3     13.9
 75 | 9 3 1|3-21      |     18.4   **29.9      16.0     15.6     15.3     14.8
 76 | 9 3 2|3-18*     |     16.3     16.3      16.1     15.4     15.7     14.5
 77 |10 1 1|3-22      |     16.3     17.4      15.8     15.6     15.2     14.9
 78 |10 1 2|3-19*     |     17.6     18.7      15.0     14.4     14.0     13.7
 79 |10 1 3|3-29      |     13.5     13.7      13.1     12.7     12.4     12.1
 80 |10 1 4|3-30      |     10.8     10.8      10.5     12.2     10.0      9.7
 81 |10 2 1|3-23      |     16.8     14.6      13.7     13.7     13.3     12.9
 82 |10 2 2|3-20*     |     13.4     11.6      11.6     11.2     11.3     11.1
 83 |10 2 3|3-24      |     11.6     11.0      10.5     11.0     10.2     10.1
 84 |10 2 4|3-28      |     24.3     24.1      24.4     13.9     14.0     13.3
 85 |11 1 1|3-16      |     22.7     23.4      24.0     23.1     22.4     20.9
 86 |11 1 2|3-9*      |     22.3     21.6      21.4     21.3     22.4     13.8
 87 |11 1 3|3-14*     |     16.9     15.7      15.6     15.5     14.4     14.7
 88 |11 1 4|3-15*     |     12.1     11.7      11.6     11.5     11.1     11.1
 89 |11 2 1|3-17      |     19.1     15.1      15.1     14.4     14.1     13.6
 90 |11 2 2|3-10*     |     21.2     19.6      18.5     14.0     11.7     11.4
 91 |11 2 3|3-18      |     25.0     24.1      23.1     15.1     10.1      9.8
 92 |11 2 4|3-13*     |     16.5     16.0      19.4     15.9     15.6     15.3
 93 |12 1 1|3-4       |     12.3     12.0      12.3     11.8     11.7     11.7
 94 |12 1 2|3-4*      |     20.3     14.0      13.5     13.3     13.7     13.1
 95 |12 1 3|3-11      |     14.8     14.8      13.4     13.6     12.9     12.5
 96 |12 1 4|3-12      |     10.9     10.6      10.1      9.7      9.8      9.3
 97 |12 2 1|3-5       |     21.1     18.8      17.6     19.7     20.4     20.1
 98 |12 2 2|3-5*      |     12.2     10.5      11.0     10.7     10.3     10.3
 99 |12 2 3|3-6       |     10.5      9.6      10.7      9.1      8.9      8.5
100 |12 2 4|3-10      |     18.1     15.7      15.2     14.9     15.0     14.3
101 |13 1 1|1-1       |     25.5     24.7      24.3     23.4     23.5     22.5
102 |13 1 2|1-1*      |     22.4     21.1      21.6     21.4     21.0     10.8
103 |13 1 3|1-7       |     19.3     17.5      19.1     17.7     21.5     10.8
104 |13 1 4|1-8       |     20.7     17.9      16.9     15.9     15.3     14.8
105 |13 2 1|1-2       |     17.2     17.4      16.8     17.6     18.7     18.1
106 |13 2 2|1-2*      |     20.3     16.9      14.9     17.0     14.5     12.7
107 |13 2 3|1-84-2    |     16.5     16.5      15.9     15.7     15.4     14.6
108 |13 2 4|1-84-1    |     13.1     13.2      13.2     12.3     11.9     11.4
109 |13 3 4|1-3*      |     16.0     14.9      14.2     13.7     13.1     12.8
110 |14 1 1|1-13      |     20.3     19.2      16.7     10.8     10.6     10.5
111 |14 1 2|1-6*      |     20.7     19.3      12.9     12.3     12.4     12.5
112 |14 1 3|1-11*     |     12.9     13.4      11.3     11.9     13.8     11.7
113 |14 1 4|1-12*     |     15.7     15.5      15.0     15.2     14.8     14.4
114 |14 2 1|1-14      |     23.6     18.3      19.2     15.0     14.0     13.6
115 |14 2 2|1-7*      |     23.4     17.8      19.1     15.2     14.8     14.6
116 |14 2 3|1-84-3    |     23.6     16.8      17.9     16.0     15.8     15.0
117 |14 2 4|1-8*      |     17.2     16.9      16.5     16.2     15.8     15.4
118 |15 1 1|1-19      |     11.3     11.3      11.0     10.9     10.6     10.4
119 |15 1 2|1-16*     |     11.7     11.7      11.7     11.3     11.3     11.3
120 |15 1 3|1-25      |     10.9     10.6      10.3     10.1      9.7     10.0
121 |15 1 4|1-26      |     15.1     12.5      13.9     13.0     12.7     12.1
122 |15 2 1|1-20      |     15.3     14.3      13.8     13.9     13.7     13.4
123 |15 2 2|1-17*     |     15.0     15.1      14.7     14.4     14.7     13.7
124 |15 2 3|1-27      |     15.5     14.9      15.2     14.5     14.1     13.9
125 |15 3 1|1-21      |     16.2     16.4      16.1     15.8     15.4     14.9
126 |15 3 2|1-18*     |     16.3     16.1      15.8     15.9     15.6     15.1
127 |16 1 1|1-22      |     18.1     16.3      16.3     15.8     15.6     15.1
128 |16 1 2|1-19*     |     16.0     15.9      16.4     15.7     15.3     14.7
129 |16 1 3|1-29      |     13.9     13.9      13.6     13.7     13.6     13.0
130 |16 1 4|1-30      |      9.6     10.0      11.8     11.6     10.6     10.6
131 |16 2 1|1-23      |     17.8     14.8      14.9     14.3     14.1     13.7
132 |16 2 2|1-20*     |     10.8     10.3      11.2     11.9     11.2     11.6
133 |16 2 3|1-24      |     11.5     11.1      10.8     10.9     10.6     10.5
134 |16 2 4|1-28      |     16.2     15.9      15.8     15.4     15.3     14.4
135 |17 1 1|1-16      |     17.7     16.7      16.7     16.1     16.1     15.4
136 |17 1 2|1-9*      |     16.9     16.6      15.9     15.4     14.8     14.1
137 |17 1 3|1-14*     |     16.7     17.1      16.2     16.1     15.8     14.9
138 |17 1 4|1-15*     |     14.0     12.0      12.6     14.5     12.3     12.5
139 |17 2 1|1-17      |     22.4     23.0      21.5     20.8     21.7     14.2
140 |17 2 2|1-10*     |     13.2     12.8      13.2     12.6     12.2     12.1
141 |17 2 3|1-18      |     12.2     11.6      10.9     11.0     10.8     10.9
142 |17 2 4|1-13*     |     16.8     16.7      16.2     16.2     15.7     16.1
143 |18 1 1|1-4       |     11.7     18.2      11.5     11.1     11.1     10.9
144 |18 1 2|1-4*      |     13.2     12.7      12.5     12.3     12.3     11.6
145 |18 1 3|1-11      |     25.9     26.7      13.7     13.3     12.8     12.5
146 |18 1 4|1-12      |     17.4     17.5      11.0     10.9      9.2     10.6
147 |18 2 1|1-5       |     12.5     10.3      13.4     10.3     10.4      9.9
148 |18 2 2|1-5*      |     18.2     16.3      11.6     11.0     10.3     10.3
149 |18 2 3|1-6       |     16.9     16.8       9.3      9.3      9.3      8.7
150 |18 2 4|1-10      |     24.9     15.8      15.3     15.2     14.5     14.1
151 |19 1 1|2-1       |     19.5     19.8      21.1     16.7     17.4     10.2
152 |19 1 2|2-1*      |     19.9     19.5      15.5     15.3     14.6     11.9
153 |19 1 3|2-7       |     21.5     21.2      19.7     17.8     17.0     11.0
154 |19 1 4|2-8       |     21.4     15.2      14.9     14.4     14.6     14.9
155 |19 2 1|2-2       |     11.6     11.2      11.1     10.5     10.8     10.4
156 |19 2 2|2-2*      |     21.2     12.7      12.3     12.6     12.0     11.7
157 |19 2 3|2-9       |     19.8     19.1      18.6     18.4     17.7     14.3
158 |19 3 1|2-3       |     23.3     11.7      11.5     11.7     11.1     10.9
159 |19 3 2|2-3*      |     22.9     18.8      18.9     19.1     18.3     13.2
160 |20 1 1|2-6*      |     13.8     13.2      14.0     13.1     12.8     12.3
161 |20 1 2|2-14      |     23.7     25.1      15.3     14.8     14.4     14.0
162 |20 1 3|2-11*     |     16.1     13.0      11.3     13.2     11.9     11.8
163 |20 1 4|2-12*     |     24.2     21.1      22.0     21.8     20.8     14.9
164 |20 2 1|2-7*      |     21.0     18.6      18.4     18.1     18.2     14.0
165 |20 2 2|2-15      |     23.7     18.8      21.7     20.1     19.4     19.9
166 |20 2 3|2-8*      |     21.3     19.4      18.9     18.5     20.7     16.6
167 |20 2 4|2-13      |     12.2     11.7      11.4     11.3     11.1     10.9
168 |21 1 1|2-19      |     11.4     11.3      10.8     11.4     10.7     10.1
169 |21 1 2|2-16*     |     12.6     11.3      12.4     11.7     11.7     11.8
170 |21 1 3|2-25      |     11.8     11.1      10.7     10.4     10.1     10.0
171 |21 1 4|2-26      |     14.7     14.4      14.1     13.6     13.4     12.9
172 |21 2 1|2-20      |     25.3     25.2      25.4     24.0     25.5     22.7
173 |21 2 2|2-17*     |     23.5     23.9      23.8     23.9     15.3     14.6
174 |21 2 3|2-27      |     15.4     15.3      15.1     14.7     14.8     14.1
175 |21 3 1|2-21      |     23.4     23.8      24.3     23.3     23.7     15.1
176 |21 3 2|2-18*     |     17.0     17.0      16.8     16.4     16.3     15.5
177 |22 1 1|2-22      |     16.9     16.8      16.9     16.4     16.3     15.6
178 |22 1 2|2-23      |     13.5     14.1      14.1     13.7     13.9     14.7
179 |22 1 3|2-29      |     14.9     14.4      13.9     13.8     13.3     12.7
180 |22 1 4|2-30      |     20.5     10.4      10.2     10.1      9.9      9.8
181 |22 2 1|2-24      |     14.2     17.9      17.2     10.3     10.4     10.5
182 |22 2 2|2-19*     |     16.3     16.0      15.8     15.1     15.2     14.5
183 |22 2 3|2-20*     |     20.6     22.8      14.4     11.6     11.6     11.4
184 |22 2 4|2-28      |     15.8     15.5      15.3     15.0     14.5     14.1
185 |23 1 1|2-16      |     24.6     21.8      22.7     23.4     23.5     21.8
186 |23 1 2|2-9*      |     17.9     16.6      18.0     16.7     16.2     15.3
187 |23 1 3|2-15*     |     16.7     16.6      16.7     15.9     15.8     15.4
188 |23 1 4|2-14*     |     19.1     20.1      19.6     14.4     13.1     12.8
189 |23 2 1|2-17      |     19.0     17.0      16.3     15.7     15.4     15.1
190 |23 2 2|2-10*     |     23.1     19.4      16.4     16.2     14.9     14.3
191 |23 2 3|2-18      |     24.4     22.9      22.8     21.3     21.1     21.3
192 |23 2 4|2-13*     |     18.7     18.1      18.2     17.8     17.5     16.5
193 |24 1 1|2-4       |     23.4     21.9      22.4     21.5     20.4     19.4
194 |24 1 2|2-4*      |     16.2     13.8      13.4     13.1     13.0     12.8
195 |24 1 3|2-11      |     16.4     15.8      15.5     14.7     14.7     14.0
196 |24 1 4|2-12      |     16.6     17.5      18.1     17.4     17.2      9.8
197 |24 2 1|2-5       |     10.1     14.8      11.4     18.1     10.8     10.4
198 |24 2 2|2-5*      |     18.6     20.4      18.4     17.1     16.6      9.8
199 |24 2 3|2-6       |     16.2     16.3      15.9     15.9     17.4      8.2
200 |24 2 4|2-10      |     23.8     23.7      23.4     24.3     15.6     15.0
201 |25 1 1|4-1       |     17.1     16.5      15.8     16.3     17.3     26.1
202 |25 1 2|4-1*      |     18.1     17.4      16.6     17.4     18.1     11.1
203 |25 1 3|4-7       |     17.9     20.3      17.6     17.4     18.2     10.6
204 |25 1 4|4-8       |     20.9     15.7      14.9     14.9     14.7     13.9
205 |25 2 1|4-2       |     16.8     18.1      18.2     18.1     18.3     22.2
206 |25 2 2|4-2*      |     18.3     17.3      14.1     13.8     13.7     12.6
207 |25 2 3|4-84-2    |     18.8     18.3      17.4     17.6     14.0     13.5
208 |25 3 1|4-84-1    |     21.0     20.9      14.7     14.1     13.9     13.7
209 |25 3 2|4-3*      |     23.2     13.5      15.1     15.1     14.9     14.4
210 |26 1 1|4-11*     |     12.2     12.3      11.8     11.8     11.8     11.5
211 |26 1 2|4-13      |     12.1     10.0      11.0     12.4     10.9     10.3
212 |26 1 3|4-6*      |     13.1     12.2      13.3     13.0     13.8     12.3
213 |26 1 4|4-12*     |     16.1     16.0      15.4     15.5     14.9     14.3
214 |26 2 1|4-14      |     20.6     20.9      17.4     14.2     14.0     13.2
215 |26 2 2|4-7*      |     19.6     20.1      19.1     16.4     14.5     14.1
216 |26 2 3|4-84-3    |     18.8     19.0      19.6     18.5     17.5     14.0
217 |26 2 4|4-8*      |     21.2     22.4      22.0     22.1     20.9     13.9
218 |27 1 1|4-19      |     11.5     10.9      10.7     10.6     10.3     10.0
219 |27 1 2|4-16*     |     11.8     11.8      11.8     11.9     11.3     11.0
220 |27 1 3|4-25      |     11.3     10.6      10.9     10.3     10.2     10.1
221 |27 1 4|4-26      |     13.3     13.2      13.0     12.8     12.3     11.9
222 |27 2 1|4-20      |     14.4     14.1      13.7     13.7     13.2     13.1
223 |27 2 2|4-17*     |     15.1     15.1      14.9     14.6     14.3     14.0
224 |27 2 3|4-27      |     15.8     14.7      14.9     14.5     14.1     13.8
225 |27 3 1|4-21      |     16.1     15.3      16.5     15.7     15.3     15.0
226 |27 3 2|4-18*     |     16.6     16.7      15.9     15.9     15.5     14.7
227 |28 1 1|4-22      |     16.9     16.8      15.8     16.1     15.8     15.1
228 |28 1 2|4-23      |     20.3     15.7      15.1     14.8     14.9     14.0
229 |28 1 3|4-29      |     14.9     14.0      13.8     13.6     13.3     12.7
230 |28 2 1|4-24      |     16.6     16.1      19.1     20.0     18.4      9.5
231 |28 2 2|4-19*     |     16.1     16.0      16.0     15.8     15.1     14.8
232 |28 2 3|4-20*     |     18.5     18.5      12.8     12.5     12.0     11.4
233 |28 2 4|4-28      |     25.3     26.0      25.9     25.9     16.0     15.7
234 |29 1 1|4-9*      |     16.4     16.3      15.8     15.3     14.8     13.8
235 |29 1 2|4-10*     |     18.3     17.9      12.4     11.7     11.1     11.0
236 |29 1 3|4-14*     |     16.3     16.0      15.9     15.2     15.3     14.7
237 |29 1 4|4-15*     |     18.0     17.3      16.8     17.0     10.9     10.4
238 |29 2 1|4-16      |     23.2     22.5      22.3     21.9     25.6     14.1
239 |29 2 2|4-17      |     15.7     15.5      15.0     14.5     14.1     13.4
240 |29 2 3|4-18      |     21.2     20.5      18.6      9.4      8.4      8.1
241 |29 2 4|4-13*     |     16.8     16.9      16.5     16.3     15.7     15.1
242 |30 1 1|4-4       |     23.2     11.8      11.0     10.8     10.7     10.4
243 |30 1 2|4-4*      |     13.1     12.4      13.5     11.6     11.6     11.3
244 |30 1 3|4-11      |     21.1     19.6      18.6     17.7     17.4     17.8
245 |30 1 4|4-12      |     17.3     20.1       9.6      9.4      8.9      8.7
246 |30 2 1|4-5       |     11.5     11.3      10.9     10.8     10.3     10.3
247 |30 2 2|4-5*      |     20.5     10.9      10.3     10.0      9.7      9.4
248 |30 2 3|4-6       |     14.0     21.3       9.5      8.1      9.7      8.4
249 |30 2 4|4-10      |     23.3     22.8      15.4     14.3     14.4     13.3
Конец сохранения данных измерения от 10.10.16, 10:04:43
