
Date and time: 2015-06-10 06:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
20,171,6-7,Sensors alarms deactivated
20,172,6-7,Sensors alarms deactivated
20,173,6-7,Sensors alarms deactivated
20,174,6-7,Sensors alarms deactivated
30,175,,Cable not present
19,175,6-7,Sensors alarms deactivated
19,176,All,Deactivated
19,177,All,Deactivated
19,178,All,Deactivated
19,179,All,Deactivated
30,180,,Cable not present
19,180,6-7,Sensors alarms deactivated
1,181,6-7,Sensors alarms deactivated
1,182,All,Deactivated
1,183,All,Deactivated
1,184,6-7,Sensors alarms deactivated
1,185,6-7,Sensors alarms deactivated
1,186,6-7,Sensors alarms deactivated
2,187,6-7,Sensors alarms deactivated
2,188,6-7,Sensors alarms deactivated
2,189,6-7,Sensors alarms deactivated
2,190,6-7,Sensors alarms deactivated
2,191,6-7,Sensors alarms deactivated
2,192,All,Deactivated
3,193,6-7,Sensors alarms deactivated
3,194,6-7,Sensors alarms deactivated
3,195,All,Deactivated
3,196,6-7,Sensors alarms deactivated
3,197,6-7,Sensors alarms deactivated
3,198,6-7,Sensors alarms deactivated
4,199,6-7,Sensors alarms deactivated
4,200,6-7,Sensors alarms deactivated
4,201,6-7,Sensors alarms deactivated
4,202,6-7,Sensors alarms deactivated
4,203,6-7,Sensors alarms deactivated
4,204,6-7,Sensors alarms deactivated
5,205,6-7,Sensors alarms deactivated
5,206,6-7,Sensors alarms deactivated
5,207,6-7,Sensors alarms deactivated
5,208,6-7,Sensors alarms deactivated
5,209,6-7,Sensors alarms deactivated
5,210,6-7,Sensors alarms deactivated
6,211,6-7,Sensors alarms deactivated
6,212,6-7,Sensors alarms deactivated
6,213,6-7,Sensors alarms deactivated
6,214,6-7,Sensors alarms deactivated
6,215,6-7,Sensors alarms deactivated
6,216,6-7,Sensors alarms deactivated

Silo,Cable,Sensor,Value (°C)
36,001,1,14.8
36,001,2,14.6
36,001,3,14.6
36,001,4,14.4
36,001,5,14.4
36,001,6,14.4
36,001,7,14.3
36,002,1,14.7
36,002,2,14.6
36,002,3,14.5
36,002,4,14.6
36,002,5,14.3
36,002,6,14.3
36,002,7,14.1
36,003,1,14.7
36,003,2,14.6
36,003,3,14.4
36,003,4,14.4
36,003,5,14.3
36,003,6,14.3
36,003,7,14.1
36,004,1,14.7
36,004,2,14.5
36,004,3,14.5
36,004,4,14.3
36,004,5,14.3
36,004,6,14.1
36,004,7,14.1
36,005,1,14.6
36,005,2,14.6
36,005,3,14.4
36,005,4,14.4
36,005,5,14.3
36,005,6,14.2
36,005,7,13.9
36,006,1,14.7
36,006,2,14.6
36,006,3,14.6
36,006,4,14.4
36,006,5,14.3
36,006,6,14.3
